Ship_Date,Segment,State,Postal_Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
13-01-2016,Consumer,Michigan,48185,Central,Mobile Phones,OnePlus,211,4,0,8.4784
13-01-2016,Consumer,Delaware,19901,East,Cameras ,Nikon,45,3,0,4.95
13-01-2016,Consumer,Delaware,19901,East,Cameras ,Sony,21,2,0,6.104
13-01-2016,Consumer,Indiana,47150,Central,Mobile Phones,iPhone,38,6,0,17.9634
13-01-2016,Consumer,Indiana,47150,Central,Mobile Phones,HTC,75,6,0,35.3346
15-01-2016,Consumer,Indiana,47150,Central,Laptops,Asus,6,2,0,2.9568
15-01-2016,Consumer,Indiana,47150,Central,Laptops,HP,89,1,0,17.0981
15-01-2016,Corporate,New York,10024,East,Mobile Phones,Nokia,15,7,0,6.2566
15-01-2016,Corporate,New York,10024,East,Cameras ,Sony,1029,5,0,298.6855
17-01-2016,Consumer,New York,12180,East,Mobile Phones,OnePlus,208,6,0,52.14
17-01-2016,Consumer,New York,12180,East,Mobile Phones,Pixel,32,5,0,15.552
17-01-2016,Consumer,New York,12180,East,Laptops,HP,319,5,0.1,7.098
19-01-2016,Consumer,New York,12180,East,Mobile Phones,Pixel,14,2,0,6.9888
19-01-2016,Consumer,New York,12180,East,Cameras ,Nikon,30,2,0,3.3
19-01-2016,Consumer,New York,12180,East,Mobile Phones,iPhone,48,4,0.2,16.362
20-01-2016,Consumer,New York,12180,East,Mobile Phones,LG,1,1,0,0.84
20-01-2016,Consumer,California,90004,West,Cameras ,Nikon,13,2,0,6.1512
20-01-2016,Consumer,California,90004,West,Mobile Phones,iPhone,25,6,0.2,9.3612
20-01-2016,Consumer,California,90004,West,Mobile Phones,Pixel,146,3,0,68.9631
21-01-2016,Consumer,California,90004,West,Laptops,Asus,79,4,0,22.3328
21-01-2016,Home Office,Illinois,60610,Central,Laptops,HP,213,5,0.3,-15.2225
21-01-2016,Corporate,Arizona,85234,West,Mobile Phones,LG,1113,8,0.2,111.3024
21-01-2016,Corporate,Arizona,85234,West,Cameras ,Sony,167,4,0.2,62.988
21-01-2016,Consumer,Virginia,22153,South,Mobile Phones,Pixel,75,2,0,35.6636
21-01-2016,Consumer,New York,10009,East,Mobile Phones,iPhone,4,1,0.2,1.731
21-01-2016,Consumer,Michigan,49201,Central,Mobile Phones,Pixel,19,3,0,8.763
23-01-2016,Consumer,Tennessee,38109,South,Laptops,HP,831,8,0.2,-114.3912
23-01-2016,Consumer,Tennessee,38109,South,Laptops,Asus,97,2,0.2,1.213
26-01-2016,Consumer,Tennessee,38109,South,Mobile Phones,OnePlus,72,1,0.2,-18.196
27-01-2016,Corporate,Texas,77041,Central,Mobile Phones,iPhone,1,3,0.8,-1.9344
27-01-2016,Corporate,Texas,77041,Central,Laptops,Asus,9,3,0.6,-5.8248
27-01-2016,Corporate,Texas,77041,Central,Mobile Phones,OnePlus,27,3,0.2,2.724
27-01-2016,Consumer,Texas,77070,Central,Laptops,Asus,19,5,0.6,-14.475
27-01-2016,Corporate,Alabama,35601,South,Mobile Phones,Samsung,208,1,0,56.2032
27-01-2016,Corporate,Alabama,35601,South,Mobile Phones,iPhone,16,3,0,8.0352
27-01-2016,Consumer,California,94122,West,Mobile Phones,LG,14,5,0,4.172
27-01-2016,Consumer,California,94122,West,Mobile Phones,OnePlus,21,1,0,6.2031
28-01-2016,Corporate,North Carolina,27707,South,Mobile Phones,Motorola ,200,7,0.2,62.8075
28-01-2016,Home Office,Illinois,60623,Central,Mobile Phones,OnePlus,230,3,0.2,-48.9549
28-01-2016,Consumer,South Carolina,29203,South,Laptops,HP,301,2,0,33.2156
28-01-2016,Consumer,Minnesota,55901,Central,Cameras ,Nikon,19,1,0,6.7966
28-01-2016,Consumer,Minnesota,55901,Central,Mobile Phones,HTC,6,2,0,2.9568
28-01-2016,Home Office,Texas,77095,Central,Mobile Phones,OnePlus,158,7,0.2,13.8572
28-01-2016,Corporate,California,90036,West,Mobile Phones,LG,20,3,0,6.633
28-01-2016,Corporate,California,90036,West,Cameras ,Sony,73,2,0.2,8.2782
28-01-2016,Corporate,California,90036,West,Mobile Phones,Pixel,6,1,0,3.1104
28-01-2016,Consumer,Minnesota,55407,Central,Mobile Phones,Pixel,12,2,0,6.2208
28-01-2016,Consumer,Minnesota,55407,Central,Laptops,Asus,53,3,0,16.5354
29-01-2016,Consumer,Minnesota,55407,Central,Mobile Phones,iPhone,32,2,0,16.1504
29-01-2016,Home Office,Oregon,97206,West,Mobile Phones,iPhone,5,1,0.7,-3.788
31-01-2016,Home Office,New York,10009,East,Laptops,Asus,96,7,0,40.5426
31-01-2016,Consumer,California,94122,West,Mobile Phones,iPhone,51,3,0.2,17.9592
31-01-2016,Corporate,Minnesota,55106,Central,Mobile Phones,Samsung,77,6,0,22.5852
01-02-2016,Home Office,Illinois,60610,Central,Mobile Phones,Pixel,64,7,0.2,22.6184
01-02-2016,Home Office,Illinois,60610,Central,Cameras ,Nikon,95,3,0.2,-10.7973
01-02-2016,Home Office,Illinois,60610,Central,Mobile Phones,iPhone,1,3,0.8,-3.0396
02-02-2016,Consumer,Minnesota,55901,Central,Mobile Phones,Pixel,23,4,0,11.7208
03-02-2016,Consumer,Colorado,80013,West,Cameras ,Nikon,238,6,0.2,-26.8758
03-02-2016,Consumer,Colorado,80013,West,Laptops,Asus,102,3,0.2,-3.8385
03-02-2016,Consumer,Colorado,80013,West,Mobile Phones,iPhone,36,3,0.7,-25.8174
03-02-2016,Consumer,North Carolina,28205,South,Cameras ,Nikon,74,8,0.2,17.6016
03-02-2016,Consumer,North Carolina,28205,South,Cameras ,Sony,27,1,0.2,2.0994
04-02-2016,Consumer,North Carolina,28205,South,Mobile Phones,LG,3,1,0.2,1.0738
04-02-2016,Home Office,Illinois,60462,Central,Cameras ,Nikon,339,5,0.2,67.992
04-02-2016,Corporate,New York,10035,East,Laptops,Asus,41,2,0,10.9096
04-02-2016,Consumer,Iowa,50322,Central,Mobile Phones,LG,75,2,0,22.788
04-02-2016,Consumer,Iowa,50322,Central,Mobile Phones,iPhone,27,6,0,13.3476
04-02-2016,Consumer,Ohio,43229,East,Mobile Phones,Nokia,40,14,0.2,14.5348
04-02-2016,Consumer,Ohio,43229,East,Mobile Phones,Motorola ,4,2,0.2,1.652
05-02-2016,Consumer,Ohio,43229,East,Mobile Phones,Pixel,23,3,0.2,7.4925
05-02-2016,Consumer,Ohio,43229,East,Mobile Phones,Motorola ,130,6,0.2,44.0316
05-02-2016,Consumer,Washington,98103,West,Laptops,Lenovo,787,3,0,165.3813
05-02-2016,Corporate,Tennessee,37620,South,Mobile Phones,iPhone,157,1,0.7,-115.7156
05-02-2016,Consumer,Delaware,19805,East,Laptops,Asus,47,3,0,18.3456
05-02-2016,Consumer,Delaware,19805,East,Mobile Phones,iPhone,30,4,0,13.878
05-02-2016,Consumer,Delaware,19805,East,Mobile Phones,OnePlus,226,6,0,63.4368
05-02-2016,Consumer,Delaware,19805,East,Mobile Phones,Motorola ,115,9,0,51.759
05-02-2016,Consumer,Delaware,19805,East,Cameras ,Sony,68,7,0,19.7316
05-02-2016,Home Office,Texas,77041,Central,Laptops,HP,600,3,0.3,-8.5794
05-02-2016,Consumer,Illinois,61701,Central,Laptops,Lenovo,617,6,0.5,-407.682
06-02-2016,Consumer,Arizona,85023,West,Mobile Phones,iPhone,2,2,0.7,-1.8308
06-02-2016,Consumer,Arizona,85023,West,Mobile Phones,OnePlus,243,7,0.2,30.499
07-02-2016,Home Office,California,90004,West,Laptops,HP,81,2,0.2,-9.1602
07-02-2016,Home Office,California,90004,West,Laptops,Asus,238,3,0,26.2416
07-02-2016,Corporate,Ohio,43229,East,Cameras ,Sony,59,5,0.4,-11.994
07-02-2016,Corporate,Ohio,43229,East,Mobile Phones,Pixel,78,2,0.2,29.364
08-02-2016,Corporate,Ohio,43229,East,Mobile Phones,Nokia,21,9,0.2,6.9732
08-02-2016,Consumer,California,95661,West,Mobile Phones,Pixel,20,3,0,9.6192
09-02-2016,Consumer,California,95661,West,Mobile Phones,Pixel,35,1,0,16.6568
09-02-2016,Consumer,California,95661,West,Mobile Phones,LG,11,4,0,3.456
10-02-2016,Consumer,California,95661,West,Mobile Phones,Nokia,4,2,0,1.9698
10-02-2016,Consumer,California,95661,West,Mobile Phones,iPhone,76,3,0.2,26.6616
10-02-2016,Consumer,California,95661,West,Mobile Phones,Mi,65,6,0,18.4464
10-02-2016,Consumer,California,95661,West,Laptops,Asus,43,14,0,20.6976
10-02-2016,Corporate,Pennsylvania,19140,East,Laptops,Asus,82,2,0.2,10.35
10-02-2016,Corporate,California,94122,West,Mobile Phones,LG,8,3,0,2.3814
10-02-2016,Corporate,California,94122,West,Mobile Phones,Motorola ,10,3,0,5.1042
11-02-2016,Corporate,California,94122,West,Mobile Phones,Pixel,143,3,0,68.976
11-02-2016,Consumer,Missouri,64055,Central,Mobile Phones,Samsung,839,3,0,218.2518
13-02-2016,Consumer,California,91104,West,Mobile Phones,OnePlus,671,7,0,20.1579
13-02-2016,Home Office,Ohio,43055,East,Laptops,Asus,93,4,0.2,12.9096
13-02-2016,Corporate,Wisconsin,53132,Central,Cameras ,Sony,384,11,0,103.8015
14-02-2016,Corporate,Wisconsin,53132,Central,Cameras ,Sony,149,3,0,5.9988
14-02-2016,Corporate,Wisconsin,53132,Central,Laptops,HP,1951,8,0,585.552
15-02-2016,Corporate,Wisconsin,53132,Central,Mobile Phones,iPhone,171,5,0,80.6285
15-02-2016,Home Office,Arizona,85254,West,Mobile Phones,Samsung,157,5,0.2,17.766
15-02-2016,Home Office,Arizona,85254,West,Cameras ,Sony,203,2,0.2,15.2388
15-02-2016,Corporate,California,95123,West,Mobile Phones,Pixel,58,7,0,26.271
15-02-2016,Corporate,California,95123,West,Mobile Phones,Pixel,105,4,0,48.5392
18-02-2016,Corporate,California,95123,West,Mobile Phones,OnePlus,80,6,0,21.0288
19-02-2016,Home Office,Washington,98105,West,Mobile Phones,LG,6,3,0,1.7901
20-02-2016,Consumer,Washington,98115,West,Laptops,HP,457,2,0.2,51.4764
20-02-2016,Consumer,Oklahoma,73034,Central,Mobile Phones,HTC,14,2,0,6.8714
20-02-2016,Consumer,Oklahoma,73034,Central,Cameras ,Sony,944,7,0,236.2325
20-02-2016,Consumer,California,90045,West,Mobile Phones,Pixel,5,1,0,2.691
20-02-2016,Consumer,Pennsylvania,19134,East,Cameras ,Nikon,54,2,0.2,1.3596
20-02-2016,Consumer,New Mexico,88220,West,Mobile Phones,Motorola ,28,5,0,13.348
20-02-2016,Consumer,Washington,98115,West,Mobile Phones,iPhone,27,2,0.2,9.688
22-02-2016,Consumer,Texas,78207,Central,Mobile Phones,LG,9,3,0.2,2.7324
22-02-2016,Consumer,Texas,78207,Central,Cameras ,Canon,8159,8,0.4,-1359.992
22-02-2016,Consumer,Texas,78207,Central,Mobile Phones,OnePlus,275,3,0.2,-58.6347
22-02-2016,Consumer,Texas,78207,Central,Laptops,HP,1740,9,0.3,-24.858
23-02-2016,Consumer,Texas,78207,Central,Mobile Phones,LG,32,6,0.2,6.8136
23-02-2016,Consumer,Texas,78207,Central,Mobile Phones,Samsung,177,5,0.8,-453.849
23-02-2016,Consumer,Texas,78207,Central,Cameras ,Sony,143,3,0.2,8.9985
23-02-2016,Consumer,California,90004,West,Mobile Phones,Pixel,20,3,0,9.8418
24-02-2016,Consumer,California,90004,West,Mobile Phones,Pixel,110,2,0,53.2608
24-02-2016,Consumer,California,90004,West,Laptops,HP,340,7,0.2,21.259
25-02-2016,Corporate,Illinois,60623,Central,Mobile Phones,Samsung,52,2,0.8,-131.12
25-02-2016,Corporate,Illinois,60623,Central,Mobile Phones,HTC,20,4,0.2,6.552
25-02-2016,Consumer,Texas,77036,Central,Mobile Phones,Samsung,97,4,0.8,-243.16
26-02-2016,Consumer,Ohio,43055,East,Laptops,HP,396,7,0.3,-11.3372
26-02-2016,Consumer,Ohio,43055,East,Mobile Phones,Mi,15,5,0.2,-3.7715
26-02-2016,Home Office,New York,10009,East,Mobile Phones,LG,3,1,0,1.4104
26-02-2016,Corporate,Illinois,62521,Central,Mobile Phones,OnePlus,24,2,0.2,1.8612
26-02-2016,Corporate,Illinois,62521,Central,Cameras ,Nikon,408,7,0.2,76.6395
26-02-2016,Home Office,Louisiana,71203,South,Cameras ,Sony,503,4,0,131.0296
26-02-2016,Home Office,Louisiana,71203,South,Cameras ,Sony,149,5,0,41.986
26-02-2016,Home Office,Louisiana,71203,South,Cameras ,Nikon,29,2,0,7.25
26-02-2016,Consumer,Connecticut,6824,East,Mobile Phones,iPhone,7,2,0,3.4368
26-02-2016,Home Office,California,90032,West,Cameras ,Nikon,176,8,0,22.984
27-02-2016,Corporate,Texas,75051,Central,Mobile Phones,OnePlus,37,3,0.2,3.7224
27-02-2016,Corporate,Texas,75051,Central,Mobile Phones,Pixel,20,3,0.2,6.255
27-02-2016,Home Office,New York,10035,East,Laptops,Dell,899,4,0.2,112.392
28-02-2016,Home Office,New York,10035,East,Cameras ,Sony,71,6,0,20.0928
01-03-2016,Home Office,New York,10035,East,Mobile Phones,Pixel,51,8,0,24.8832
01-03-2016,Home Office,New York,10035,East,Laptops,Dell,626,3,0.2,46.9764
02-03-2016,Home Office,New York,10035,East,Mobile Phones,LG,19,5,0,6.567
03-03-2016,Corporate,California,92374,West,Mobile Phones,Motorola ,14,7,0,6.7116
03-03-2016,Consumer,Ohio,45011,East,Mobile Phones,LG,7,2,0.2,1.2038
04-03-2016,Consumer,Ohio,45011,East,Mobile Phones,LG,6,3,0.2,1.5876
05-03-2016,Home Office,New Jersey,7090,East,Mobile Phones,OnePlus,46,3,0,12.0276
05-03-2016,Corporate,Pennsylvania,19120,East,Mobile Phones,iPhone,2,2,0.7,-2.2586
05-03-2016,Corporate,Pennsylvania,19120,East,Mobile Phones,Pixel,16,3,0.2,5.8203
05-03-2016,Consumer,Ohio,44312,East,Mobile Phones,Pixel,21,3,0.2,6.795
06-03-2016,Consumer,Colorado,80219,West,Laptops,Lenovo,218,2,0.5,-161.875
06-03-2016,Consumer,Colorado,80219,West,Mobile Phones,Samsung,2,1,0.2,0.2925
06-03-2016,Consumer,Texas,75220,Central,Mobile Phones,Samsung,66,2,0.8,-178.9668
08-03-2016,Corporate,Tennessee,37064,South,Laptops,Asus,35,7,0.2,9.6712
08-03-2016,Consumer,California,90604,West,Cameras ,Sony,444,4,0.2,44.4768
08-03-2016,Consumer,Michigan,48601,Central,Mobile Phones,OnePlus,83,4,0,5.8744
08-03-2016,Consumer,Michigan,48601,Central,Cameras ,Sony,131,2,0,35.6346
08-03-2016,Consumer,Michigan,48601,Central,Mobile Phones,iPhone,15,4,0,7.4824
08-03-2016,Consumer,Michigan,48601,Central,Mobile Phones,Nokia,52,9,0,16.2099
08-03-2016,Consumer,Michigan,48601,Central,Mobile Phones,OnePlus,91,1,0,3.6796
08-03-2016,Corporate,Texas,75220,Central,Cameras ,Nikon,20,2,0.2,6.5
08-03-2016,Corporate,Ohio,44256,East,Mobile Phones,HTC,23,2,0.2,8.88
08-03-2016,Corporate,Ohio,44256,East,Laptops,Dell,452,5,0.5,-244.323
08-03-2016,Corporate,Ohio,44256,East,Cameras ,Sony,62,3,0.4,-14.6958
08-03-2016,Corporate,Ohio,44256,East,Cameras ,Canon,1188,9,0.7,-950.4
08-03-2016,Corporate,Ohio,44256,East,Cameras ,Nikon,89,2,0.2,4.4792
08-03-2016,Consumer,California,90032,West,Mobile Phones,OnePlus,93,6,0,26.0568
08-03-2016,Consumer,California,90032,West,Cameras ,Sony,302,3,0.2,22.6782
08-03-2016,Consumer,Ohio,43017,East,Mobile Phones,Nokia,5,2,0.2,1.8148
10-03-2016,Consumer,Ohio,43017,East,Mobile Phones,Pixel,22,6,0.2,8.2302
10-03-2016,Consumer,Ohio,43017,East,Mobile Phones,iPhone,19,4,0.7,-13.8432
10-03-2016,Consumer,Ohio,43017,East,Laptops,Asus,72,4,0.2,19.0848
10-03-2016,Consumer,Ohio,43017,East,Cameras ,Canon,479,4,0.7,-383.9904
11-03-2016,Consumer,Ohio,43017,East,Mobile Phones,LG,27,2,0.2,2.7168
11-03-2016,Corporate,Michigan,48227,Central,Mobile Phones,LG,2,1,0,0.968
11-03-2016,Corporate,Michigan,48227,Central,Laptops,Lenovo,622,5,0,136.939
11-03-2016,Corporate,Michigan,48227,Central,Mobile Phones,OnePlus,21,1,0,0.2198
11-03-2016,Consumer,Tennessee,38401,South,Laptops,HP,161,2,0.2,-28.2744
12-03-2016,Consumer,Tennessee,38401,South,Laptops,HP,389,8,0.2,43.8408
12-03-2016,Corporate,North Carolina,28205,South,Mobile Phones,iPhone,18,7,0.7,-12.432
12-03-2016,Home Office,Florida,33614,South,Laptops,Lenovo,233,2,0.45,-102.048
12-03-2016,Home Office,Florida,33614,South,Laptops,Lenovo,620,3,0.45,-248.2458
12-03-2016,Home Office,Florida,33614,South,Mobile Phones,iPhone,5,2,0.7,-3.552
12-03-2016,Home Office,Florida,33614,South,Laptops,Asus,258,3,0.2,0
12-03-2016,Home Office,Florida,33614,South,Cameras ,Nikon,617,3,0.2,-7.7247
12-03-2016,Corporate,California,95051,West,Mobile Phones,Pixel,10,2,0,4.752
12-03-2016,Consumer,Illinois,60610,Central,Mobile Phones,Pixel,25,5,0.2,9.396
12-03-2016,Consumer,Illinois,60610,Central,Laptops,Asus,419,5,0.6,-356.728
12-03-2016,Consumer,Illinois,60610,Central,Laptops,Asus,11,3,0.6,-4.6752
12-03-2016,Consumer,Illinois,60610,Central,Cameras ,Sony,31,2,0.2,11.1944
12-03-2016,Consumer,Illinois,60610,Central,Laptops,Lenovo,177,5,0.5,-120.513
12-03-2016,Consumer,Illinois,60610,Central,Laptops,Asus,4,3,0.6,-2.8308
12-03-2016,Consumer,Illinois,60610,Central,Mobile Phones,LG,7,2,0.2,1.2038
12-03-2016,Home Office,Minnesota,55044,Central,Laptops,HP,2001,7,0,580.5394
12-03-2016,Home Office,Minnesota,55044,Central,Mobile Phones,OnePlus,166,2,0,41.68
13-03-2016,Home Office,Minnesota,55044,Central,Mobile Phones,Pixel,47,6,0,23.94
13-03-2016,Home Office,Minnesota,55044,Central,Mobile Phones,Samsung,1503,5,0,496.0725
13-03-2016,Home Office,Minnesota,55044,Central,Mobile Phones,Pixel,25,4,0,12.4416
13-03-2016,Consumer,California,94109,West,Laptops,HP,321,2,0.2,28.1372
13-03-2016,Consumer,California,92037,West,Mobile Phones,Pixel,7,1,0,3.5767
13-03-2016,Consumer,California,92037,West,Cameras ,Nikon,3347,13,0,636.0003
13-03-2016,Consumer,New York,10024,East,Mobile Phones,OnePlus,80,6,0,22.5624
13-03-2016,Consumer,New York,10024,East,Mobile Phones,Motorola ,361,4,0,162.864
13-03-2016,Corporate,Illinois,60623,Central,Laptops,Asus,12,9,0.6,-8.4924
14-03-2016,Corporate,Illinois,60623,Central,Mobile Phones,OnePlus,82,2,0.2,-19.5624
14-03-2016,Corporate,Illinois,60623,Central,Mobile Phones,OnePlus,53,5,0.2,4.044
15-03-2016,Corporate,Illinois,60623,Central,Cameras ,Sony,647,6,0.2,56.6916
15-03-2016,Consumer,New York,10009,East,Cameras ,Nikon,20,3,0,6.9258
15-03-2016,Consumer,New York,10009,East,Mobile Phones,OnePlus,221,3,0,6.6465
15-03-2016,Consumer,New York,10009,East,Mobile Phones,iPhone,17,5,0.2,6.132
15-03-2016,Corporate,Texas,77506,Central,Mobile Phones,Samsung,1,2,0.8,-4.466
15-03-2016,Corporate,Texas,77036,Central,Cameras ,Canon,3059,3,0.4,-509.997
15-03-2016,Corporate,Texas,77036,Central,Cameras ,Canon,2519,7,0.4,-251.9958
15-03-2016,Consumer,Illinois,60610,Central,Cameras ,Sony,328,4,0.2,28.7196
15-03-2016,Consumer,California,94513,West,Cameras ,Nikon,79,2,0,35.156
15-03-2016,Corporate,North Carolina,27514,South,Mobile Phones,LG,14,3,0.2,4.7304
15-03-2016,Consumer,New Jersey,7960,East,Mobile Phones,Nokia,7,6,0,0.3024
15-03-2016,Corporate,Ohio,45231,East,Mobile Phones,OnePlus,37,1,0.2,-7.4416
15-03-2016,Corporate,Ohio,45231,East,Mobile Phones,Motorola ,57,3,0.2,21.591
15-03-2016,Corporate,California,94110,West,Mobile Phones,OnePlus,725,4,0,210.4936
15-03-2016,Consumer,California,94109,West,Cameras ,Nikon,209,7,0,92.3692
15-03-2016,Consumer,California,94109,West,Laptops,Asus,5,3,0,2.3232
15-03-2016,Consumer,California,94109,West,Mobile Phones,iPhone,10,3,0.2,4.095
15-03-2016,Corporate,California,90301,West,Mobile Phones,Pixel,8,2,0,4.0572
16-03-2016,Corporate,California,90301,West,Mobile Phones,LG,5,1,0,1.5548
16-03-2016,Corporate,Pennsylvania,19140,East,Mobile Phones,Pixel,11,2,0.2,4.0768
16-03-2016,Corporate,Pennsylvania,19140,East,Mobile Phones,Pixel,18,4,0.2,5.9072
16-03-2016,Corporate,Pennsylvania,19140,East,Mobile Phones,OnePlus,59,6,0.2,5.9712
16-03-2016,Corporate,Pennsylvania,19140,East,Mobile Phones,HTC,24,3,0.2,8.694
16-03-2016,Consumer,Texas,77070,Central,Mobile Phones,iPhone,2,5,0.8,-3.432
16-03-2016,Consumer,Texas,77070,Central,Cameras ,Sony,1114,7,0.2,376.11
16-03-2016,Consumer,California,90004,West,Laptops,Lenovo,1038,5,0.2,51.942
17-03-2016,Consumer,Oregon,97206,West,Mobile Phones,Pixel,141,5,0.2,47.844
17-03-2016,Consumer,Oregon,97206,West,Cameras ,Nikon,239,5,0.2,47.96
17-03-2016,Consumer,Oregon,97206,West,Mobile Phones,Pixel,31,6,0.2,10.8864
17-03-2016,Corporate,Florida,33319,South,Mobile Phones,iPhone,254,7,0.7,-169.372
17-03-2016,Corporate,Florida,33319,South,Mobile Phones,Samsung,194,2,0.2,24.316
17-03-2016,Corporate,Florida,33319,South,Mobile Phones,Mi,961,5,0.2,-204.3145
17-03-2016,Home Office,Ohio,43229,East,Mobile Phones,Nokia,19,7,0.2,6.6836
17-03-2016,Home Office,Ohio,43229,East,Mobile Phones,HTC,18,8,0.2,6.2424
17-03-2016,Home Office,Ohio,43229,East,Cameras ,Nikon,255,2,0.2,54.3966
18-03-2016,Home Office,Ohio,43229,East,Laptops,Dell,86,3,0.5,-48.7032
18-03-2016,Corporate,Colorado,80906,West,Laptops,Asus,300,8,0.2,78.8592
18-03-2016,Corporate,Colorado,80906,West,Laptops,HP,230,3,0.2,20.1558
18-03-2016,Corporate,Colorado,80906,West,Laptops,Asus,218,3,0.2,-24.5646
18-03-2016,Corporate,Colorado,80906,West,Mobile Phones,iPhone,78,5,0.7,-62.88
18-03-2016,Corporate,Colorado,80906,West,Mobile Phones,Nokia,27,3,0.2,9.2988
18-03-2016,Corporate,New Jersey,7109,East,Mobile Phones,Pixel,32,5,0,15.552
19-03-2016,Corporate,New Jersey,7109,East,Mobile Phones,OnePlus,1082,8,0,10.8248
19-03-2016,Corporate,New Jersey,7109,East,Mobile Phones,Pixel,56,3,0,27.3168
19-03-2016,Corporate,New Jersey,7109,East,Laptops,Asus,77,4,0,38.024
19-03-2016,Corporate,New Jersey,7109,East,Mobile Phones,iPhone,14,1,0,6.5688
19-03-2016,Consumer,Illinois,60623,Central,Laptops,Lenovo,219,3,0.5,-131.445
19-03-2016,Corporate,New York,10024,East,Laptops,Asus,26,2,0,12.864
19-03-2016,Corporate,Michigan,48180,Central,Mobile Phones,LG,9,3,0,2.8536
